RAGA	THAAT	TIME	AAROHA	AVAROHA	VADI	SAMVADI	PAKAD	JATI	
Bhim	Kafi	"Afternoon, 12-3"	"S,G,m,P,n,S'"	"g',R',S',n,D,m,D,m,G,R,S"	S	P	n S' g' R' S' n D m G R S	Audav-Sampurna	
Bengali	Bilaval	Monsoon	"S,R,m,P,D,S'"	"R',N,P,D,m,P,G,S"	S	P	S R m P D m P G S R P m	Shadav-Sampoorna	
Bhimpalasi	Kafi	"Early Afternoon, 12-3"	"N,S,g,m,P,n,S'"	"SÕ,n,D,P,m,g,R,S"	m	S	N S g m P g m g R n S	Audav-Sampurna	
Bhoopal-Todi	Bhairavi	"Morning, 6-9"	"S,r,g,P,d,S"	"S,d,P,g,r,S"	d	g	S r d S r g r S	Audav-Audav	
Bhoopali	Kalyaan	"Early Night, 9-12"	"S,R,G,P,D,S'"	"S',D,P,G,R,S"	G	D	S G R SÔ D S R G	Audav-Audav	
Bibhas	Marva	At daybreak	"S,r,G,P,d,S'"	"S',d,P,G,r,S"	d	G	G P d G P G r S	Audav-Audav	
Bihag	Bilaval	"Late Night, 12-3"	"N,S,G,m,P,N,S"	"S',N,D,P,M,P,G,m,G,R,S"	G	N	P G m G R S	Audav-Shadav	
Bihagda	Bilaval	"Night, 9-12"	"N,S,G,m,P,N,S'"	"S',N,D,P,n,D,P,D,G,m,G,R,S"	G	N	n D P D G m G R S	Audav-Sampurna	
Bilaskhani Todi	Bhairavi	"Morning, 6-9"	"S,r,G,P,d,S'"	"S',r',n,d,m,g,r,g,r,S"	d	g	S' r' n d g P d n d m g r g r S	Audav-Sampurna	
Bhup	Kalyaan	"Evening, 6-9"	"S,R,G,P,D,S'"	"S',D,P,G,R,S"	G	D	S R G R G R G R P G R G S R 'D S	Audav-Audav	
Brindabani Sarang	Kafi	"Early Afternoon, 12-3"	"N,S,R,m,P,N,S'"	"S,n,P,m,R,N',S"	R	P	n P m R m R 'N S	Audav-Audav	
Chandrakauns	Bhairavi	"Late Night, 12-3"	"S,g,m,d,N,S'"	"S',R',S',N,d,m,g,S"	m	S	g m g 'N g S	Audav-Audav	
Chandrakanth	Kalyaan	"Early Night, 9-12"	"S,R,G,P,D,N,S'"	"S',N,D,P,M,G,R,S"	G	N	G M P D P M G R S	Shadav-Sampoorna	
"Chandni,Kedar"	Kalyaan	"Night, 9-12"	"S,m,M,M,P,D,N,S'"	"S',N,D,P,D,P,M,m,R,S"	m	S	D N D P D P M m R S	Audav-Shadav	
Chhayanat	Kalyaan	"Early Night, 9-12"	"S,R,G,m,P,R,G,m,D,P,P,S',N,S'"	"R',S',N,D,P,R,G,M,R,S"	R	P	P R G m P m G m R S	Shadav-Sampoorna	
Darbari Kanada	Asavari	"Midnight, 9-12"	"S,r,g,m,P,d,n,S'"	"R',n,S',d,n,P,m,P,g,m,R,S"	R	P	S R g R S 'd 'n R S	Sampurna-Sampurna	
Desi	Asavari	"Late Morning, 9-12"	"S,R,m,P,m,P,n,S'"	"S',P,D,P,d,m,P,R,g,S,R,'n,S"	P	R	P D m P g r S r 'n S	Audav-Sampurna	
Desh	Khamaj	"Late Night, 12-3"	"N,S,R,m,P,N,S'"	"N,S',R',n,D,P,D,m,G,R,G,'N,S"	R	P	R m P n D P D m G R G 'N S	Audav-Sampurna	
Deshkar	Bilaval	"Late Morning, 9-12"	"S,R,G,P,D,S'"	"S',D,P,D,P,G,R,'D,S"	D	G	S D P D S' D P D G P G P D P G R S R' D S	Audav-Audav	
Devagiribilaval	Bilaval	"Morning, 6-9"	"S,R,G,P,N,D,N,S"	"S,N,D,P,P,m,G,R,'N,R,'N,R,G,m,G,G,R,S"	S	P	G m G R 'N R 'N G G R 'N S	Shadav-Sampoorna	
Devaranjani	Bhairav	"Morning, 6-9"	"S,m,m,P,d,N,S'"	"S',N,d,n,P,d,m,n,S"	m	S	S m m P d N S' d P m S	Audav-Audav	
Devgiri	Bilaval	"Morning, 6-9"	"S,R,G,P,N,D,N,S'"	"S,N,D,P,P,m,G,R,N',R,N',R,G,m,G,G,R,S"	S	P	G m G R 'N R 'N G G R 'N S	Shadav-Sampoorna	
Dev gandhar	Asavari	"Morning, 9-12"	"S,R,m,P,d,m,P,d,n,S'"	"S',n,d,P,m,P,g,R,S,R,n,S,R,G,m,P,g,R,S"	d	G	m P d m P g R S R n S R G m	Shadav-Sampoorna	
Deepak Kedar	Kalyaan	"Night, 6-9"	"S,R,M,P,D,P,S'"	"S',N,P,M,P,m,R,S"	P	S'	S R M P D P m R S	Audav-Audav	
Dhanabasanti	Poorvi	"Evening, 6-9"	"S,G,M,d,N,S"	"S,N,d,P,M,G,M,G,G,M,r,G,M,G,r,S"	P	S	M d S N d P M G M G G M r G M G r S S m G M d N S	Audav-Sampurna	
Dhani	Kafi	Any time day or night	"n,S,g,m,P,n,S'"	"S',n,P,m,g,R,S"	g	n	g m n P g R S	Audav-Shadav	
Dhanashree	Kafi	"Late Evening, 3-6"	"n,S,g,m,P,n,S'"	"S',n,D,P,m,g,R,S"	P	S	'n S g m P g m g R n S	Audav-Sampurna	
Durga	Bilaval	"Late Night, 12-3"	"S,R,m,P,D,S'"	"S',D,P,D,m,R,'D,S"	m	S	m P D P D m R P m R 'D S	Audav-Audav	
Gaara	Kafi	No specific time	"S,G,m,P,D,N,S'"	"S',n,D,P,m,g,R,S,'N,S,'n,'D,S"	S	P	'N S R 'n 'D 'D 'n 'S 'N 'S 'D 'n S R G R S R m g R S 'D 'n 'D S	Mishra/Sankeerna	
Gandhari	Asavari	"Late Morning, 9-12"	"S,R,m,P,d,n,S'"	"S',n,d,n,d,P,m,g,r,s"	d	g	R m P d P n d S n d P	Shadav-Sampoorna	
Gavati	Khamaj	"Afternoon, 3-6"	"n,S,G,m,P,n,S'"	"S,n,S',D,P,m,P,G,m,R,S"	S	P	P n S' D P G m R S	Audav-Sampurna	
Gaud Malhar	Khamaj	Any time in rainy season	"S,R,G,m,R,P,m,P,n,D,N,S'"	"S',D,n,P,m,P,m,R,G,R,S"	m	S	S R G m m R P n D n P m G m R S	Sampurna	
Gaud Sarang	Kalyaan	"Early Afternoon, 12-3"	"N,S,G,R,m,G,P,M,D,P,N,D,S'"	"S',D,P,M,P,G,m,R,G,R,m,G,P,R,S"	G	D	G R m G P R S	Sampurna-Sampurna	
Gorakh Kalyan	Khamaj	"Early Night, 9-12"	"S,R,m,D,n,D,S'"	"S',n,D,m,R,R,m,P,m,R,'n,'D,S"	S	m	'D S R m R 'n 'D S m D n D m R R m P m R 'n 'D S	Audav-Shadav	
Gouri	Bhairav	"Evening, 6-9"	"S,G,r,G,G,m,P,m,P,d,N,S'"	"S',N,D,P,d,P,m,G,G,r,'N,S,'N,S"	m	S	m d P d m P G m r G r S r S 'N	Sampurna-Sampurna	
Gujari Todi	Todi	"Late Morning, 9-12"	"S,r,g,M,d,N,S'"	"S',N,d,M,g,r,S"	d	r	M d N d M g r g r S	Shadav-Shadav	
Gunak(ri)ali	Bhairav	"At daybreak, 6-9"	"S,r,m,P,d,S'"	"S',d,P,m,r,S"	d	r	r m P d d P m r r 'd S	Audav-Audav	
Gunjikanada	Kafi	"Night, 9-12"	"S,R,G,R,m,m,P,g,D,n,S'"	"S',D,n,P,g,g,m,R,S"	P	S	S 'n 'n S S R g g m R S	Sampurna-Sampurna	
Gowri	Poorvi	"Late Evening, 6-9"	"S,r,M,P,M,d,N,S'"	"S',N,d,P,d,m,P,M,d,M,G,r,G,r,S"	P	S	N d P d m M d M G r G r S	Shadav-Sampoorna	
Hamir	Kalyaan	"Early Night, 9-12"	"S,R,G,m,D,N,S'"	"S',N,D,P,M,P,G,m,R,S"	D	G	G m D N S'	Shadav-Sampoorna	
Hamsadhwani	Bilaval	"Early Night, 9-12"	"S,R,G,P,N,S'"	"S',N,P,G,R,S"	S	P	R G P R G P N P G R S	Audav-Audav	
Hamsakankini	Kafi	"Afternoon, 12-3"	"N,S,G,m,P,N,S'"	"S,n,D,P,m,P,g,m,P,g,R,S,'N,'N,S"	P	S	S' G m P P n D P m P g R S	Audav-Sampurna	
HemaKalyan	Bilaval	"Night, 6-9"	"P,'D,'P,S,R,S,G,m,P,D,P,S'"	"S,D,P,G,m,P,G,m,R,S"	S	P	P D P S R S	Shadav-Shadav	
Hindol	Kalyaan	"Early Morning, 3-6"	"S,G,M,D,N,D,S'"	"S',N,D,M,G,S"	D	G	S G M N D M G S	Audav-Audav	
Jaijaivanti	Khamaj	"Evening, 6-9"	"N,S,R,G,m,P,N,S'"	"S',n,D,P,m,G,R,N',S,'D,',n,R"	R	P	R G m P D G m R G 'N S 'D 'n R	Shadav-Sampoorna	
Jaithkalyan	Kalyaan	"Evening, 6-9"	"S,G,P,P,D,P,P,S'"	"S',P,P,D,P,P,D,P,G,R,S"	P	S'	S G P P D P P G P G S R S S P D P S' P D P G S	Audav-Audav	
Jaikauns	Kafi	"Night, 9-12"	"N,S,g,m,M,m,D,N,S'"	"S',N,D,m,M,m,g,S"	m	S	N/A	Audav-Audav	
Jaladhar	Bilaval	"After sunset, 6-9"	"S,R,S,m,m,P,D,S'"	"S',D,P,m,R,S"	m	S	D P m R S m	Audav-Audav	
Jaunpuri	Asavari	"Late Morning, 9-12"	"S,R,m,P,d,n,S'"	"S',n,d,P,m,g,R,s"	d	g	m P d n S n d P m P g R m P d P	Shadav-Sampoorna	
Jaimini kalyan	Kalyaan	"Evening, 6-9"	"N,R,G,M,D,N,S'"	"S',N,D,P,M,G,m,G,R,S"	G	N	'N 'D 'N R G G m G R 'N G R S	Shadav-Sampoorna	
Jhinjoti	Khamaj	"Night, 9-12"	"S,R,m,P,D,S'"	"S',n,D,P,m,G,R,G,R,R,S"	G	N	D S R m G P m G R S 'n 'D 'P	Audav-Sampurna	
Janasamohini	Khamaj	"Night, 6-9"	"S,R,G,P,D,n,S'"	"S',n,D,P,G,P,G,R,S,'n,'D,S"	S	P	P D n D P G R S 'n 'D S	Shadav-Shadav	
Jog	Kafi	"Late Night, 12-3"	"S,G,m,P,N,S'"	"S',n,P,m,G,m,g,S,g,S"	m	S	S G G m S g 'n g S	Audav-Audav	
Jogiya	Bhairav	"At daybreak, 6-9"	"S,r,m,P,d,S'"	"S',N,d,P,d,m,G,r,S"	m	S	m P d r' S' N d P m G r S	Audav-Sampurna	
Kafi	Kafi	"Night, 6-9"	"S,R,g,m,P,D,n,S'"	"S',n,D,P,m,g,R,S"	P	R	S R R g m P m P m P m P g R	Sampurna-Sampurna	
Kalingda	Bhairav	"Early Morning, 3-6"	"S,r,G,m,P,d,P,d,N,S'"	"S',N,d,P,m,G,r,S"	P	S	P d P m G r S' N S r G m G r G r S	Sampurna-Sampurna	
Kamod	Kalyaan	"Night, 6-9"	"S,R,P,m,P,D,P,N,D,S"	"S',N,D,P,M,P,D,P,G,m,P,G,m,R,S"	P	R	S R P g m P g m R S	Shadav-Sampoorna	
Kaunsi Kanada	Bhairavi	"Around Midnight, 12-3"	"N,S,m,g,m,d,n,S'"	"S',n,d,m,P,m,g,R,g,m,R,S"	m	S	N/A	Audav-Sampurna	
Kedar	Kalyaan	"Early Night, 9-12"	"S,m,m,P,M,P,D,N,S'"	"S',N,D,P,M,P,D,n,D,P,M,P,D,P,m,P,m,R,S"	m	S	M P D P m P m S R S	Audav-Shadav	
Khambavati	Khamaj	"Early Night, 9-12"	"S,R,m,P,D,S'"	"S,n,D,P,D,m,G,S"	S	P	n D P D P m P G S	Shadav-Sampoorna	
Khamaj	Khamaj	"Evening, 6-9"	"S,G,m,P,D,N,S'"	"S',n,D,P,m,G,R,S"	G	N	G m n D P D m G P	Shadav-Sampoorna	
Khat	Asavari	"Late Morning, 9-12"	"R,'n,S,g,m,P,d,n,S'"	"R',S',n,D,P,m,P,g,m,R,S"	P	S	R 'n S g m P d D n P S' n D P	Sampurna-Sampurna	
Kirvani		Anytime in monsoon	"S,R,g,m,P,d,N,S'"	"S',N,d,P,m,g,R,S"	P	S	N/A	Sampurna-Sampurna	
Kukubh	Khamaj	"Early Morning, 3-6"	"S,R,G,P,D,N,S'"	"S',N,D,n,D,P,m,G,R,S,S,R,S"	S	P	G R G P m G m R S S R	Shadav-Sampoorna	
Lachchha	Bilaval	"Morning, 6-9"	"S,G,R,G,P,m,P,D,N,S'"	"S',D,n,P,m,G,P,m,G,R,S"	m	S	P m G m m n D P m G m R S	Shadav-Sampoorna	
Lalit	Poorvi	"Before Sunrise, 3-6"	"N,r,G,m,M,m,G,M,d,N,S'"	"S',N,d,M,m,G,r,S"	m	S'	'N r G m d m d M m G M G r S	Shadav-Shadav	
Lalitpancham	Marva	"Morning, 6-9"	"N,r,G,m,M,G,M,D,N,S'"	"S',N,D,N,D,P,D,M,d,M,m,G,M,G,r,S"	m	S	M D N D P D M m G M r  S	Shadav-Sampoorna	
Lalitapancham	Marva	"Morning, 6-9"	"N,r,G,m,M,G,M,D,N,S'"	"S',N,D,N,D,P,D,M,d,M,m,G,M,G,r,S"	m	S	M D N D P D M m G M G r S	Shadav-Sampoorna	
Lankadahansaarang	Kafi	"Afternoon, 12-3"	"S,R,m,P,n,P,N,S'"	"S',D,n,P,m,P,g,g,m,R,S"	R	P	S' D n P g m R S	Audav-Sampurna	
Naat	Bilaval	"Early Night, 9-12"	"S,R,G,m,P,D,N,S'"	"S',N,d,P,m,g,R,S"	m	S	S G m P G m R G m P m G m R S	Sampurna-Sampurna	
Naat Malhar	Khamaj	"Early Night, 9-12"	"S,R,G,m,m,R,P,n,D,N,S'"	"S',D,n,P,m,G,R,R,G,G,m,R,S"	m	S	S R G m m R P D n P m P	Sampurna-Sampurna	
Naatbhairav	Bhairav	"Morning, 6-9"	"S,R,G,m,P,d,N,S'"	"S',N,D,P,m,G,R,S"	P	S	S R G m d P G m R S R 'N 'd S	Sampurna-Sampurna	
Nata bihag	Khamaj	"Early Night, 9-12"	"S,R,G,m,P,P,N,N,S'"	"S',N,D,P,G,m,n,D,P,m,G,m,G,R,S"	P	S	G m n D P P m G R G m P m G R S	Audav-Sampurna	
Maand	Bilaval	"Evening, 6-9"	"S,G,m,P,D,N,S'"	"S',N,D,P,D,P,N,D,P,G,m,G,R,S"	S	P	G m P D N S'	Shadav-Sampoorna	
Madhmad Sarang	Kafi	"Early Afternoon, 12-3"	"S,R,m,P,n,S'"	"S',n,P,m,R,R,'n,S"	R	P	'n S R P m R 'n R S m P n P m R m R S' n S	Audav-Audav	
Madhuvanti	Todi	"Afternoon, 12-3"	"N,S,g,M,P,N,S'"	"S',N,D,P,M,P,D,n,D,P,M,g,R,S"	P	S	D M P g M g R S	Audav-Sampurna	
Madhmadi saarang	Kafi	"Late Morning, 9-12"	"S,R,m,P,n,S'"	"S',n,P,m,R,R,'n,S"	R	P	'n S R P m R 'n R S m P n P m R m R S' n S	Audav-Audav	
Malashri	Kalyaan	"Evening, 6-9"	"S,G,P,N,S"	"S,P,M,P,G,S"	P	S	S P M P G S	Audav-Audav	
Malgunj	Kafi	"Late Morning, 9-12"	"S,R,G,m,D,N,S'"	"S',n,D,P,m,G,m,g,R,S"	m	S	G m g R S 'N S 'D 'n  S G m	Shadav-Sampoorna	
Malkauns	Bhairavi	"Late Night, 12-3"	"S,g,m,d,n,S'"	"S',n,d,m,g,S"	m	S	'd n S m g m d g m g 'n S	Audav-Audav	
Maligaura	Poorvi	"Evening, 6-9"	"S,r,'N,'d,'N,r,G,M,G,M,P,N,S'"	"S',r',N,d,P,N,M,G,M,'N,r,S"	S	P	S r 'N 'd 'N P d M G M G r G	Shadav-Sampoorna	
Maluha	Kalyaan	"Evening, 6-9"	"R,'N,S,m,R,S,m,G,P,M,D,M,P,S'"	"S',N,D,M,P,G,P,G,m,R,S,'n,'D,'P,'m,'P,S"	m	S	m R S S 'd 'P 'm 'P 'P 'N 'N S	Shadav-Shadav	
Malwi	Poorvi	"Evening, 6-9"	"S,G,P,M,d,S'"	"S',N,P,M,G,r,S"	S	P	G P M d S' N P G M G r S	Shadav-Sampoorna	
Malav	Bhairavi	"Late Night, 12-3"	"S,G,m,d,n,S'"	"S',n,d,P,D,D,n,D,P,m,G,m,G,m,g,g,S"	m	S	S' n d P D D n D P m G m g S	Audav-Shadav	
Maru Bihag	Kalyaan	"Afternoon, 3-6"	"N,S,G,M,P,m,G,M,P,N,S'"	"S',N,D,P,M,G,M,G,R,S"	G	N	P G M G R S S m G S G M P	Audav-Sampurna	
Marg Bihag	Kalyaan	"Early Night, 9-12"	"N,S,G,M,P,N,S'"	"S,'N,D,P,M,G,R,S"	G	N	G M P N D M G M G R S R S	Audav-Sampurna	
Marva	Marva	"At Sunset, 3-6"	"N,r,G,M,D,N,D,S'"	"S',N,D,M,G,r,S"	r	D	D M G r G M G r 'N S	Shadav-Shadav	
Manohari amba	Kafi	"Morning, 9-12"	"S,R,g,m,D,N,S'"	"S',N,D,m,g,R,S"	m	S	m g R 'N S 'D 'N S	Shadav-Shadav	
Meeramalhaar	Asavari	Any time in rainy season	"S,R,P,n,D,N,S'"	"S',R',d,d,n,P,m,P,g,g,m,R,S"	S	P	P n D N S' R' d d n P	Shadav-Sampoorna	
Megh	Kafi	Any time in rainy season	"S,m,R,P,m,P,n,S'"	"S',n,P,m,R,S"	S	P	R R S 'n S m R p m R n S	Audav-Audav	
Mohiniahi	Asavari	"Night, 9-12"	"S,r,G,m,P,D,n,S'"	"S',N,D,P,m,G,R,S"	m	n	S R G m P d P m g R g S	Sampurna-Sampurna	
Miya ki Malhaar	Kafi	Any time in rains/midnight	"N,S,m,R,P,m,P,n,D,N,S'"	"S',N,S',D,n,m,P,g,m,R,S"	R	P	R P g m R S 'n ' D 'N S	Sampurna-Shadav	
(Miya ki) Todi	Todi	"Late Morning, 9-12"	"S,r,g,M,d,N,S'"	"S',N,d,P,M,g,r,s"	d	g	g M d M d N d N d P M d M g r g r g r S	Sampurna-Shadav	
Multani	Todi	"Afternoon, 3-6"	"N,S,g,M,P,N,S'"	"S',N,d,P,M,g,r,S"	P	S	'N S M g M P g M g M g S N' S g r S	Audav-Sampurna	
Narayani	Khamaj	"Late Night, 9-12"	"S,R,m,P,D,n,D,S'"	"S',n,D,P,m,R,S"	P	S	R m P n D P	Shadav-Shadav	
Pancham	Marva	"Night, 6-9"	"S,m,G,M,D,N,D,N,M,D,S'"	"S',N,D,M,D,M,G,r,s"	m	S	M D S' N D M D M G r S S m G M D N D N M D	Audav-Audav	
Patdip	Kafi	"Afternoon, 3-6"	"N,S,g,m,P,N,S'"	"S',N,S',D,P,m,P,g,R,S"	P	S	g m P N D N S' D P m P g	Audav-Sampurna	
Pahadi	Bilaval	"Night, 6-9"	"P,'D,S,R,G,P,D,S'"	"S',N,D,P,m,G,R,S,'D,'P,'D,S"	S	P	S 'D 'P 'D 'm 'G 'P 'D 'S	Audav-Sampurna	
Paraj	Poorvi	"Late Night, 12-3"	"N,S,G,M,P,d,N,S'"	"S',N,d,P,M,P,d,P,m,G,r,s"	S	P	S' N d P M P d P G m G M G r S	Shadav-Sampoorna	
Palasi	Kafi	"Afternoon, 3-6"	"S,g,m,P,n,S'"	"S',n,P,m,G,R,S"	P	S'	P n P m g R S	Audav-Audav	
Pilu	Kafi	"Afternoon, 3-6"	"N,S,R,m,P,N,S'"	"S',n,D,P,m,P,d,P,m,G,m,P,g,R,S,'N,S,g,r,S"	P	S	G m P g R S' N S	Mishra/Sankeerna	
Puriya	Marva	"Just after sunset, 3-6"	"N,r,G,M,D,N,r',S'"	"r',N,D,M,G,M,G,r,S"	G	N	G N r' S M G r G 'N r S	Shadav-Shadav	
Puriyadhanashri	Poorvi	"After sunset, 3-6"	"N,r,G,M,d,N,S'"	"S',N,r',N,d,P,M,G,M,r,G,r,S"	P	S	'N r M G P M d N d P M G M r G r S	Audav-Sampurna	
Purva Kalyaan	Marva	"Evening, 6-9"	"N,r,G,M,D,N,S'"	"S',N,D,P,M,G,r,G,r,S"	S	P	N D P M G M D M G r S	Sampurna-Sampurna	
Prabhat	Bhairav	"Morning, 6-9"	"S,r,G,m,M,G,G,m,P,d,N,S'"	"S',N,d,P,m,m,d,M,m,G,r,G,M,G,r,S"	m	S	G m d d P G m M d M m G m	Sampurna-Sampurna	
Pradeepaki	Kafi	"Afternoon, 12-3"	"S,G,m,P,N,S'"	"S',n,D,P,m,g,R,S"	m	S	G m P g m g R S	Audav-Sampurna	
Purba	Marva	"Late Evening , 3-6"	"N,r,G,M,D,N,S'"	"S',N,D,P,M,G,r,G,r,S"	S	P	N D P M G M D M G r S	Sampurna-Sampurna	
Poorvi	Poorvi	"Sunset, 3-6"	"N,r,G,M,d,N,S'"	"S',N,d,P,M,G,m,r,G,M,G,r,S"	G	N	P d P M G m r G M G r S	Shadav-Sampoorna	
Rageshri	Khamaj	"Late Night, 12-3"	"n,S,G,M,D,n,S'"	"S',n,D,m,G,m,R,S"	m	S	'D 'n S G m G m R S	Audav-Shadav	
Ramkali	Bhairav	"At daybreak, 6-9"	"S,r,G,m,P,G,m,d,N,S'"	"S',N,d,P,M,P,d,d,P,G,m,r,S"	P	S	M P  d n d P G m R S G m P	Sampurna-Sampurna	
Reva	Poorvi	"Evening, 6-9"	"S,r,G,P,d,P,S'"	"S',d,P,G,r,S"	S	P	S r g P d P G S r G r G	Audav-Audav	
Ram Priya	Todi	"Morning, 9-12"	"S,r,G,m,P,n,S'"	"S',n,P,m,G,m,g,r,S"	m	S	P n P m G m g r g r S	Shadav-Shadav	
Sarparda	Bilaval	"Early Morning, 3-6"	"S,R,G,G,R,G,m,P,D,N,S'"	"S',N,D,P,D,n,D,P,m,G,R,G,R,S"	S	P	D n D P m G R G R S	Sampurna-Sampurna	
Saajgiro	Poorvi	"Evening, 6-9"	"N,r,G,M,G,M,P,d,P,m,N,D,S'"	"S',N,r',N,d,P,P,D,G,M,D,G,M,G,r,S"	G	N	m N D S' N r' N d P P D G M G r S	Sampurna-Sampurna	
Samanthasarang	Khamaj	"Afternoon, 12-3"	"S,R,m,P,N,S'"	"S',n,D,P,m,R,m,R,'N,S"	R	P	R M P n D P m R	Audav-Audav	
Shahana	Kafi	"Late Night, 12-3"	"R,n,S,g,m,P,n,D,n,P,m,P,n,P,S'"	"S',n,D,n,P,m,P,g,m,R,S"	P	S	n D n P m P g m R S	Sampurna-Sampurna	
Shankara	Bilaval	"Late Night, 12-3"	"S,G,P,N,D,S'"	"S',N,P,G,P,G,S"	G	N	S 'N 'P 'N 'D S G P G R S	Audav-Shadav	
Shree	Poorvi	"After sunset, 3-6"	"S,R,m,P,N,S'"	"S',N,r',N,d,M,d,M,G,r,S"	r	P	r r P M P d M G r S M P N S' r' N d P	Audav-Sampurna	
Shivabhairav	Bhairav	"Morning, 6-9"	"S,r,S,G,m,P,d,d,S'"	"S',n,d,P,m,g,m,P,m,G,m,r,g,r,S"	P	S	g m P d d' S' r' n d P d n d P m	Sampurna-Sampurna	
Shuddha Kalyaan	Kalyaan	"Evening, 6-9"	"S,R,G,P,D,S'"	"S,N,D,P,P,M,G,R,S"	G	D	S 'D 'P 'D S R G P G P  R S	Audav-Sampurna	
Shuddha Sarang	Kafi	"Early Afternoon, 12-3"	"N,S,R,M,P,N,S'"	"S',N,D,P,M,P,m,R,N,S'"	R	P	R M P R m R S' N 'P 'N 'D S 'N R S	Audav-Shadav	
Shuklabilaval	Khamaj	"Morning, 6-9"	"S,G,m,P,G,m,P,D,N,S'"	"S',n,D,P,D,M,G,R,S"	m	S	m P D n G m G R S	Shadav-Sampoorna	
